#,Job_ID,WeatherFile,ModelFile,@@P1_Wall_R@@,@@P2_Roof_R@@,@@P3_Roof_Abs@@,@@P4_U@@,@@P4_SHGC@@,@@P4_VT@@,@@P5_COP@@,@@P6_ClgSetp@@,@@P7_LPD@@,Message,Warnings,Errors,Hours,Minutes,Seconds,Scenario,Total_Site_Energy_GJ,EUI_MJ_m2,Electricity_EndUse_GJ,NaturalGas_EndUse_GJ,P8_PV_kW,P9_BESS_kWh,Net_EUI_kWh_m2,LCE_tCO2_m2,LCC_USD_m2
11,LHS-000011,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,5.568887387,0.23,2.86184304,0.219,0.2409,4.15,24.0,6.66362,EnergyPlus Completed Successfully,7143951,12,0,1,42.04,1_Baseline,1944.51,390.29,147937.93,9346.85,120,0,72.28382064320442,3.1404280517864307,1045.6405507986162
12,LHS-000012,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.943887387,0.3,1.6,0.19,0.27,3.399288815,25.0,6.0,EnergyPlus Completed Successfully,7401482,0,0,1,40.22,1_Baseline,2030.64,407.58,151981.8,9342.75,120,30,77.0865984209822,3.360496051786431,1115.1163913979615
13,LHS-000013,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.9802,4.318887387,0.45,1.5,0.15,0.2,3.9,26.0,6.0,EnergyPlus Completed Successfully,8506076,0,0,1,38.34,1_Baseline,1886.74,378.7,132486.82,9343.24,150,150,60.03185913733886,2.630449314733039,868.406590787108
14,LHS-000014,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,0.4802,4.943887387,0.3,2.86184304,0.219,0.2409,4.4,25.0,4.0,EnergyPlus Completed Successfully,7610509,7,0,1,52.35,1_Baseline,1815.78,364.45,137144.81,9342.78,150,120,56.07352580400552,2.4545693147330385,811.1462826008348
15,LHS-000015,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,4.318887387,0.37,1.5,0.13,0.17,4.4,25.5,6.0,EnergyPlus Completed Successfully,7851612,0,0,1,45.88,1_Baseline,1816.52,364.6,130533.18,9344.01,90,30,74.18022659351443,3.2298557888398234,1073.073508060351
16,LHS-000016,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,5.568887387,0.37,1.5,0.17,0.24,3.65,24.5,4.0,EnergyPlus Completed Successfully,6726113,15,0,1,45.25,1_Baseline,1902.36,381.83,145038.73,9343.61,90,120,78.96633770462553,3.4400607888398227,1142.3082526252272
17,LHS-000017,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,5.568887387,0.45,1.6,0.19,0.27,3.9,25.5,6.66362,EnergyPlus Completed Successfully,7944720,13,0,1,58.45,1_Baseline,1953.21,392.04,140947.38,9342.15,60,0,90.83496587715777,3.937066525893216,1313.9970038439596
18,LHS-000018,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.7302,5.568887387,0.23,1.5,0.17,0.24,4.4,26.0,4.6,EnergyPlus Completed Successfully,8474046,0,0,1,51.48,1_Baseline,1751.56,351.56,120551.6,9344.87,30,150,88.62303849413443,3.8506012629466073,1281.9997886092046
19,LHS-000019,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,1.1052,5.568887387,0.45,1.6,0.19,0.27,4.15,26.0,5.3,EnergyPlus Completed Successfully,8629207,9,0,1,54.0,1_Baseline,1855.74,372.47,130043.91,9345.24,90,60,76.36633770462554,3.3255507888398235,1104.6972712481386
20,LHS-000020,1_VNM_SVN_Ho.Chi.Minh-Tan.Son.Nhat.Intl.AP.489000_TMYx.2011-2025.epw,ASHRAE901_OfficeMedium_STD2019_HoChiMinh.idf,2.3552,4.318887387,0.45,1.6,0.19,0.27,3.9,25.5,4.0,EnergyPlus Completed Successfully,8025258,17,0,1,52.23,1_Baseline,1830.3,367.37,131393.27,9342.55,60,30,83.98218809937998,3.649622525893215,1214.8663510049862
