fold_scenario,delta_t,model,r2_test,rmse,mae,mape
Baseline,0.0,PI-HGAT,0.506874144077301,3.494134347482482,3.182389736175537,2.9791321605443954
Baseline,0.0,Linear Reg,0.6624029419002965,2.891079567501784,2.486838748447196,2.385687092570842
Baseline,0.0,XGBoost,-0.7410957027432812,6.565564005281465,6.522751792968749,6.137731424745551
Baseline,0.0,ANN (MLP),0.9191045867538528,1.4152157936485374,1.1656827141113282,1.102614415270165
S1,1.879,PI-HGAT,0.9760582447052002,0.8894284559471864,0.6983296871185303,0.6013098172843456
S1,1.879,Linear Reg,0.9735020249050192,0.9357064891527116,0.808980760555404,0.6967265210789643
S1,1.879,XGBoost,0.9953616597393544,0.391484525299025,0.3460126271972654,0.2980310888173497
S1,1.879,ANN (MLP),0.9801861634682764,0.8091286616043359,0.6206675227050784,0.5389123530541224
S2,2.665,PI-HGAT,0.9783629179000854,0.9039162149761998,0.6985710263252258,0.5759685300290585
S2,2.665,Linear Reg,0.9751378451305718,0.9689436561471444,0.8348929399953342,0.6965064836414552
S2,2.665,XGBoost,0.6727356015532525,3.515430541365628,3.4789752878417968,2.874122387974473
S2,2.665,ANN (MLP),0.9592236197547008,1.240890544230659,0.9826337946777342,0.8132945130638505
S3,2.179,PI-HGAT,0.9773948788642884,0.8860996118202646,0.7108101844787598,0.6027519702911377
S3,2.179,Linear Reg,0.9757215208777872,0.9183113479681008,0.7969845137600725,0.6781837265169921
S3,2.179,XGBoost,0.8920467199620596,1.936409182718104,1.9003840095214848,1.6108369762887391
S3,2.179,ANN (MLP),0.9441426623296504,1.392898043241949,1.097556920166016,0.9289125777505036
S4,4.472,PI-HGAT,0.8890488147735596,2.4111330102647752,1.972672462463379,1.4861787669360638
S4,4.472,Linear Reg,0.7614899065396363,3.535156349281279,2.970007383151168,2.161878160117572
S4,4.472,XGBoost,-0.8170286300774197,9.757445404493671,9.68243879614258,7.207150119074675
S4,4.472,ANN (MLP),0.9335486752436628,1.8659803519025,1.4725284770507814,1.0837132073585969
S5,1.27,PI-HGAT,0.977375626564026,0.8245496402068172,0.6545355916023254,0.5793611519038677
S5,1.27,Linear Reg,0.97714822055895,0.8286837066938153,0.6761459156860763,0.6067996992606115
S5,1.27,XGBoost,0.8806425297431872,1.8938849411718572,1.868532780517578,1.6556651572432892
S5,1.27,ANN (MLP),0.9095440733128988,1.648721501316804,1.283640561279297,1.14216992950289
S6,1.875,PI-HGAT,0.9800163507461548,0.8141447439401597,0.6621290445327759,0.5667195189744234
S6,1.875,Linear Reg,0.9869666234101996,0.6574955933884059,0.5588250189816758,0.4819458453113184
S6,1.875,XGBoost,0.9938416414348475,0.4519567326455646,0.3743988161621094,0.3219257132197954
S6,1.875,ANN (MLP),0.9021832052405644,1.8012379496019069,1.426207228027344,1.2226657539828163
S7,1.611,PI-HGAT,0.97919899225235,0.8124682346883627,0.6548526287078857,0.5696849431842566
S7,1.611,Linear Reg,0.9818883198706632,0.7581302459724506,0.6412339536118111,0.5612733835404479
S7,1.611,XGBoost,0.913666960176112,1.6552094991877326,1.626499274169922,1.417271521137502
S7,1.611,ANN (MLP),0.9328043459173628,1.4602763327277533,1.1109587631835938,0.9715339583939332
S8,3.144,PI-HGAT,0.9811302423477172,0.8821461956585379,0.6959474086761475,0.5557077936828136
S8,3.144,Linear Reg,0.9743975215544391,1.0275397125436891,0.8083501781845659,0.6441985597052976
S8,3.144,XGBoost,0.6912722991440375,3.56816895506002,3.5293192062988283,2.8318889690469926
S8,3.144,ANN (MLP),0.9632893421817262,1.2304208854110537,0.975775541503906,0.784725054254908
