fold_scenario,delta_t,PI-HGAT,XGBoost,ANN (MLP),Linear Reg
Baseline,0.0,0.1932,-0.8246,0.9073,0.6462
S1,1.879,0.9735,0.9893,0.9762,0.973
S2,2.665,0.9791,0.6605,0.9484,0.9739
S3,2.179,0.9792,0.8813,0.9326,0.9752
S4,4.472,0.8808,-0.8842,0.9261,0.7508
S5,1.27,0.9664,0.8703,0.889,0.9768
S6,1.875,0.9756,0.9868,0.8826,0.9871
S7,1.611,0.9792,0.906,0.9156,0.9818
S8,3.144,0.9786,0.6705,0.958,0.9723
