variant,seed,lambda_mono,r2_test,rmse,r2_extra,rmse_extra,mae_extra,viol_wallU,viol_cop,viol_deltaT
mono_off,0,0.0,0.9622297883033752,1.194273852702052,0.8709125518798828,2.563740406808895,2.0692152976989746,0.0,0.0,0.0
mono_off,1,0.0,0.9738333821296692,0.9940377352668869,0.9004576802253723,2.251313356040736,1.8172813653945923,0.0,0.0,0.0
mono_off,2,0.0,0.9710890650749207,1.0448652305579853,0.8852239847183228,2.417450635183139,1.9723916053771973,0.0,0.0,0.0
mono_on,0,0.05,0.9595052599906921,1.2365977880587378,0.8460591435432434,2.799684104810926,2.2545604705810547,0.0,0.0,0.0
mono_on,1,0.05,0.9781436920166016,0.9084849258814047,0.9079425930976868,2.1650175885902243,1.7558497190475464,0.0,0.0,0.0
mono_on,2,0.05,0.9523310661315918,1.3416734663670566,0.8215395212173462,3.014415597280415,2.4257290363311768,0.0,0.0,0.0
