model,r2_train,r2_test,rmse,mae,mape
PI-HGAT,0.9814313650131226,0.980057954788208,1.3767686652682396,1.0048905611038208,0.8284928277134895
Linear Reg,0.9833043028976164,0.9810666149016343,1.3414994575668977,0.9591710919444143,0.8062324895694488
XGBoost,0.9999197947332418,0.9937739122241573,0.7692791942448926,0.5575556362219026,0.4628920372262359
ANN (MLP),0.9590183867051267,0.8938434168291602,3.1765071190979866,2.628677030329119,2.231558267738837
